composition,formation_energy (eV/atom),mode_AtomicWeight,max_Electronegativity,avg_Electronegativity,dev_Electronegativity,sum_Electronegativity,mode_Row,mode_GSvolume_pa,mode_CovalentRadius,range_Electronegativity,avg_Column,dev_NpUnfilled,mode_MendeleevNumber,mode_MeltingT,mode_Number,min_CovalentRadius,dev_NpValence,min_MeltingT,mode_SpaceGroupNumber,sum_NpValence,mode_NValence,max_MendeleevNumber,dev_NdValence,avg_CovalentRadius,avg_NpValence,min_AtomicWeight,min_SpaceGroupNumber,min_GSvolume_pa,mode_Column,min_Number,sum_SpaceGroupNumber,mode_NpUnfilled,sum_MeltingT,mode_NpValence,avg_MeltingT,mode_NUnfilled,avg_SpaceGroupNumber,avg_NdValence,range_SpaceGroupNumber,sum_CovalentRadius,sum_Column,max_NpValence,dev_SpaceGroupNumber,max_Column,sum_NdValence,sum_GSbandgap,range_NpValence,avg_MendeleevNumber,sum_MendeleevNumber,dev_CovalentRadius,max_NValence,sum_NpUnfilled,range_Column,max_GSbandgap,range_GSbandgap,dev_Column,max_NdValence,max_MeltingT,dev_GSbandgap,range_NdValence
Ce1 Co1 Si3,-0.657850022,28.0855,1.9,1.74,0.2479999999999999,8.7,3.0,20.44,111.0,0.7799999999999998,10.8,1.92,78.0,1687.0,14.0,111.0,0.96,1071.0,227.0,6.0,4.0,78.0,2.16,132.6,1.2,28.0855,194.0,10.245,14.0,14.0,1069.0,4.0,7900.0,2.0,1580.0,4.0,213.8,1.6,33.0,663.0,54.0,2.0,15.839999999999998,14.0,8.0,2.319,2.0,61.4,307.0,28.559999999999995,9.0,12.0,11.0,0.773,0.773,3.84,7.0,1768.0,0.37104,7.0
Ce1 Cr1 Ge3,-0.426064557,72.64,2.01,1.7619999999999998,0.2975999999999998,8.809999999999999,4.0,23.005,120.0,0.8899999999999997,10.2,1.92,79.0,1211.4,32.0,120.0,0.96,1071.0,225.0,6.0,14.0,79.0,3.3600000000000003,140.60000000000002,1.2,51.9961,194.0,11.19,14.0,24.0,1098.0,4.0,6885.200000000001,2.0,1377.04,4.0,219.6,7.2,35.0,703.0,51.0,2.0,10.239999999999986,14.0,36.0,1.149,2.0,60.2,301.0,25.360000000000014,14.0,12.0,11.0,0.383,0.383,4.5600000000000005,10.0,2180.0,0.18384,9.0
Ce1 Cr1 S3,-1.671059271,32.065,2.58,2.104,0.5712,10.52,3.0,25.786875,105.0,1.46,11.4,0.96,88.0,388.36,16.0,105.0,1.92,388.36,70.0,12.0,6.0,88.0,1.52,131.60000000000002,2.4,32.065,70.0,11.19,16.0,16.0,633.0,2.0,4416.08,4.0,883.216,2.0,126.6,1.2,159.0,658.0,57.0,4.0,67.92,16.0,6.0,6.606,4.0,65.6,328.0,31.920000000000005,6.0,6.0,13.0,2.202,2.202,5.52,5.0,2180.0,1.05696,5.0
Ce1 Cr1 Se3,-1.471222202,78.96,2.55,2.086,0.5568,10.43,4.0,25.92,120.0,1.4299999999999995,11.4,0.96,89.0,494.0,34.0,120.0,1.92,494.0,14.0,12.0,16.0,89.0,3.3600000000000003,140.60000000000002,2.4,51.9961,14.0,11.19,16.0,24.0,465.0,2.0,4733.0,4.0,946.6,2.0,93.0,7.2,215.0,703.0,57.0,4.0,94.8,16.0,36.0,2.397,4.0,66.2,331.0,25.360000000000014,16.0,6.0,13.0,0.799,0.799,5.52,10.0,2180.0,0.38352,9.0
Ce1 Dy1 S3,-2.4036576,32.065,2.58,2.016,0.6768000000000001,10.08,3.0,25.786875,105.0,1.46,10.8,0.96,88.0,388.36,16.0,105.0,1.92,388.36,70.0,12.0,6.0,88.0,0.32,142.20000000000002,2.4,32.065,70.0,25.786875,16.0,16.0,598.0,2.0,3921.08,4.0,784.216,2.0,119.6,0.2,124.0,711.0,54.0,4.0,59.52,16.0,1.0,6.606,4.0,62.0,310.0,44.64,12.0,6.0,13.0,2.202,2.202,6.24,1.0,1685.0,1.05696,1.0
Ce1 Fe1 Ge3,-0.504454995,72.64,2.01,1.7959999999999998,0.2704,8.98,4.0,23.005,120.0,0.8899999999999997,10.6,1.92,79.0,1211.4,32.0,120.0,0.96,1071.0,225.0,6.0,14.0,79.0,3.12,139.2,1.2,55.845,194.0,10.73,14.0,26.0,1098.0,4.0,6516.200000000001,2.0,1303.2400000000002,4.0,219.6,7.4,35.0,696.0,53.0,2.0,10.239999999999986,14.0,37.0,1.149,2.0,61.4,307.0,25.919999999999995,14.0,12.0,11.0,0.383,0.383,4.08,10.0,1811.0,0.18384,9.0
Ce1 Ga3 Au1,-0.557484264,69.723,2.54,1.818,0.2888,9.09,4.0,18.8575,122.0,1.42,10.6,2.4000000000000004,74.0,302.91,31.0,122.0,0.48,302.91,64.0,3.0,13.0,74.0,2.880000000000001,141.2,0.6,69.723,64.0,16.7,13.0,31.0,611.0,5.0,3317.06,1.0,663.412,5.0,122.2,8.2,161.0,706.0,53.0,1.0,69.84,13.0,41.0,0.0,1.0,60.6,303.0,25.119999999999997,25.0,15.0,10.0,0.0,0.0,3.039999999999999,10.0,1337.33,0.0,9.0
Ce1 Ga3 Cu1,-0.527511802,69.723,1.9,1.69,0.228,8.45,4.0,18.8575,122.0,0.7799999999999998,10.6,2.4000000000000004,74.0,302.91,31.0,122.0,0.48,302.91,64.0,3.0,13.0,74.0,2.880000000000001,140.4,0.6,63.546,64.0,11.07,13.0,29.0,611.0,5.0,3337.5,1.0,667.5,5.0,122.2,8.2,161.0,702.0,53.0,1.0,69.84,13.0,41.0,0.0,1.0,60.2,301.0,25.44,13.0,15.0,10.0,0.0,0.0,3.039999999999999,10.0,1357.77,0.0,9.0
Ce1 Ga3 Pd1,-0.684558597,69.723,2.2,1.75,0.252,8.75,4.0,18.8575,122.0,1.08,10.4,2.4000000000000004,74.0,302.91,31.0,122.0,0.48,302.91,64.0,3.0,13.0,74.0,2.880000000000001,141.8,0.6,69.723,64.0,14.41,13.0,31.0,611.0,5.0,3807.78,1.0,761.556,5.0,122.2,8.2,161.0,709.0,52.0,1.0,69.84,13.0,41.0,0.0,1.0,59.8,299.0,24.88000000000001,13.0,15.0,10.0,0.0,0.0,3.12,10.0,1828.05,0.0,9.0
Ce1 Ge3 Ir1,-0.654839913,72.64,2.2,1.87,0.3000000000000001,9.35,4.0,23.005,120.0,1.08,10.8,1.92,79.0,1211.4,32.0,120.0,0.96,1071.0,225.0,6.0,14.0,79.0,2.88,141.0,1.2,72.64,194.0,14.21,14.0,32.0,1094.0,4.0,7444.200000000001,2.0,1488.84,4.0,218.8,7.6,31.0,705.0,54.0,2.0,9.919999999999996,14.0,38.0,1.149,2.0,62.4,312.0,25.200000000000003,23.0,12.0,11.0,0.383,0.383,3.84,10.0,2739.0,0.18384,9.0
Ce1 Ge3 Rh1,-0.688103335,72.64,2.28,1.886,0.3064,9.43,4.0,23.005,120.0,1.1599999999999997,10.8,1.92,79.0,1211.4,32.0,120.0,0.96,1071.0,225.0,6.0,14.0,79.0,2.72,141.20000000000002,1.2,72.64,194.0,13.64,14.0,32.0,1094.0,4.0,6942.200000000001,2.0,1388.44,4.0,218.8,7.800000000000001,31.0,706.0,54.0,2.0,9.919999999999996,14.0,39.0,1.149,2.0,62.2,311.0,25.440000000000005,14.0,12.0,11.0,0.383,0.383,3.84,10.0,2237.0,0.18384,9.0
Ce1 Ge3 Ru1,-0.601952309,72.64,2.2,1.87,0.3000000000000001,9.35,4.0,23.005,120.0,1.08,10.6,1.92,79.0,1211.4,32.0,120.0,0.96,1071.0,225.0,6.0,14.0,79.0,2.88,142.0,1.2,72.64,194.0,13.51,14.0,32.0,1063.0,4.0,7312.200000000001,2.0,1462.44,4.0,212.6,7.6,31.0,710.0,53.0,2.0,14.879999999999995,14.0,38.0,1.149,2.0,61.6,308.0,26.4,14.0,12.0,11.0,0.383,0.383,4.08,10.0,2607.0,0.18384,9.0
Ce1 Ni1 Sb3,-0.707929827,121.76,2.05,1.836,0.2864,9.18,5.0,31.56,139.0,0.9299999999999996,11.6,1.44,85.0,903.78,51.0,124.0,1.44,903.78,166.0,9.0,15.0,85.0,2.72,149.0,1.7999999999999998,58.6934,166.0,10.32,15.0,28.0,917.0,3.0,5510.34,3.0,1102.068,3.0,183.4,7.8,59.0,745.0,58.0,3.0,20.880000000000003,15.0,39.0,0.0,3.0,66.2,331.0,22.0,15.0,9.0,12.0,0.0,0.0,4.08,10.0,1728.0,0.0,9.0
Ce1 Ru3 C1,-0.240911858,101.07,2.55,2.0540000000000003,0.3735999999999999,10.27,5.0,13.51,146.0,1.4299999999999995,8.200000000000001,1.2800000000000002,56.0,2607.0,44.0,76.0,0.6400000000000001,1071.0,194.0,2.0,8.0,77.0,3.12,143.6,0.4,12.0107,194.0,5.64,8.0,6.0,970.0,0.0,12715.0,0.0,2543.0,4.0,194.0,4.4,0.0,718.0,41.0,2.0,0.0,14.0,22.0,4.496,2.0,52.0,260.0,27.040000000000006,8.0,4.0,11.0,4.496,4.496,2.3200000000000007,7.0,3823.0,1.43872,7.0
Ce1 Sc1 S3,-2.31473052,32.065,2.58,2.044,0.6432,10.22,3.0,25.786875,105.0,1.46,10.8,0.96,88.0,388.36,16.0,105.0,1.92,388.36,70.0,12.0,6.0,88.0,0.48,137.8,2.4,32.065,70.0,22.235,16.0,16.0,598.0,2.0,4050.08,4.0,810.016,2.0,119.6,0.4,124.0,689.0,54.0,4.0,59.52,16.0,2.0,6.606,4.0,58.0,290.0,39.36,6.0,6.0,13.0,2.202,2.202,6.24,1.0,1814.0,1.05696,1.0
Ce1 Si3 Ir1,-0.83994648,28.0855,2.2,1.804,0.2736,9.02,3.0,20.44,111.0,1.08,10.8,1.92,78.0,1687.0,14.0,111.0,0.96,1071.0,227.0,6.0,4.0,78.0,2.16,135.60000000000002,1.2,28.0855,194.0,14.21,14.0,14.0,1100.0,4.0,8871.0,2.0,1774.1999999999998,4.0,220.0,1.6,33.0,678.0,54.0,2.0,10.4,14.0,8.0,2.319,2.0,61.8,309.0,29.520000000000003,23.0,12.0,11.0,0.773,0.773,3.84,7.0,2739.0,0.37104,7.0
Ce1 Si3 Os1,-0.65501811,28.0855,2.2,1.804,0.2736,9.02,3.0,20.44,111.0,1.08,10.6,1.92,78.0,1687.0,14.0,111.0,0.96,1071.0,227.0,6.0,4.0,78.0,1.84,136.20000000000002,1.2,28.0855,194.0,14.09,14.0,14.0,1069.0,4.0,9438.0,2.0,1887.6,4.0,213.8,1.4,33.0,681.0,53.0,2.0,15.839999999999998,14.0,7.0,2.319,2.0,61.2,306.0,30.24,22.0,12.0,11.0,0.773,0.773,4.08,6.0,3306.0,0.37104,6.0
Ce1 Si3 Pt1,-0.797867792,28.0855,2.28,1.82,0.28,9.1,3.0,20.44,111.0,1.1599999999999997,11.0,1.92,78.0,1687.0,14.0,111.0,0.96,1071.0,227.0,6.0,4.0,78.0,2.8,134.60000000000002,1.2,28.0855,194.0,15.02,14.0,14.0,1100.0,4.0,8173.4,2.0,1634.6799999999998,4.0,220.0,2.0,33.0,673.0,55.0,2.0,10.4,14.0,10.0,2.319,2.0,62.4,312.0,28.32,24.0,12.0,11.0,0.773,0.773,3.6,9.0,2041.4,0.37104,9.0
Ce1 Si3 Rh1,-0.820763166,28.0855,2.28,1.82,0.28,9.1,3.0,20.44,111.0,1.1599999999999997,10.8,1.92,78.0,1687.0,14.0,111.0,0.96,1071.0,227.0,6.0,4.0,78.0,2.4800000000000004,135.8,1.2,28.0855,194.0,13.64,14.0,14.0,1100.0,4.0,8369.0,2.0,1673.8,4.0,220.0,1.8,33.0,679.0,54.0,2.0,10.4,14.0,9.0,2.319,2.0,61.6,308.0,29.76,9.0,12.0,11.0,0.773,0.773,3.84,8.0,2237.0,0.37104,8.0
Ce1 Si3 Ru1,-0.722518684,28.0855,2.2,1.804,0.2736,9.02,3.0,20.44,111.0,1.08,10.6,1.92,78.0,1687.0,14.0,111.0,0.96,1071.0,227.0,6.0,4.0,78.0,2.16,136.60000000000002,1.2,28.0855,194.0,13.51,14.0,14.0,1069.0,4.0,8739.0,2.0,1747.7999999999995,4.0,213.8,1.6,33.0,683.0,53.0,2.0,15.839999999999998,14.0,8.0,2.319,2.0,61.0,305.0,30.72000000000001,8.0,12.0,11.0,0.773,0.773,4.08,7.0,2607.0,0.37104,7.0
Ce1 Si1 Pt3,-1.054200258,195.084,2.28,1.972,0.3695999999999999,9.86,6.0,15.02,136.0,1.1599999999999997,9.4,1.2800000000000002,63.0,2041.4,78.0,111.0,0.6400000000000001,1071.0,225.0,2.0,24.0,78.0,4.08,144.6,0.4,28.0855,194.0,15.02,10.0,14.0,1096.0,0.0,8882.2,0.0,1776.44,2.0,219.2,5.6,33.0,723.0,47.0,2.0,10.079999999999991,14.0,28.0,0.773,2.0,56.4,282.0,23.76,24.0,4.0,11.0,0.773,0.773,2.56,9.0,2041.4,0.24736,9.0
Ce1 Sn3 Ru1,-0.519540024,118.71,2.2,1.84,0.2880000000000001,9.2,5.0,33.285,139.0,1.08,10.6,1.92,80.0,505.08,50.0,139.0,0.96,505.08,141.0,6.0,14.0,80.0,2.88,153.39999999999998,1.2,101.07,141.0,13.51,14.0,44.0,811.0,4.0,5193.24,2.0,1038.648,4.0,162.20000000000002,7.6,53.0,767.0,53.0,2.0,25.44,14.0,38.0,0.0,2.0,62.2,311.0,20.239999999999988,14.0,12.0,11.0,0.0,0.0,4.08,10.0,2607.0,0.0,9.0
Ce1 Ti1 Ge3,-0.669301495,72.64,2.01,1.7379999999999998,0.3263999999999999,8.69,4.0,23.005,120.0,0.8899999999999997,9.8,1.92,79.0,1211.4,32.0,120.0,0.96,1071.0,225.0,6.0,14.0,79.0,4.08,144.8,1.2,47.867,194.0,16.69,14.0,22.0,1063.0,4.0,6646.200000000001,2.0,1329.2400000000002,4.0,212.6,6.6,31.0,724.0,49.0,2.0,14.879999999999995,14.0,33.0,1.149,2.0,59.0,295.0,29.76,14.0,12.0,11.0,0.383,0.383,5.04,10.0,1941.0,0.18384,9.0
Cl1 O1 F3,-0.918681053,18.9984032,3.98,3.708,0.3263999999999999,18.54,2.0,9.7075,57.0,0.8199999999999998,16.8,0.3200000000000001,93.0,53.5,9.0,57.0,0.3200000000000001,53.5,15.0,24.0,7.0,94.0,0.0,67.8,4.8,15.9994,12.0,9.105,17.0,8.0,121.0,1.0,386.9,5.0,77.38,1.0,24.200000000000003,0.0,52.0,339.0,84.0,5.0,15.920000000000002,17.0,0.0,8.403,1.0,92.0,460.0,13.679999999999998,7.0,6.0,1.0,2.493,2.493,0.3199999999999995,0.0,171.6,0.6722400000000001,0.0
Co1 Bi1 O3,-1.458912713,15.9994,3.44,2.8440000000000003,0.7151999999999998,14.22,2.0,9.105,66.0,1.56,14.4,0.7200000000000001,87.0,54.8,8.0,66.0,1.2000000000000002,54.8,12.0,15.0,6.0,87.0,4.08,94.4,3.0,15.9994,12.0,9.105,16.0,8.0,242.0,2.0,2476.8,4.0,495.36,2.0,48.400000000000006,3.4000000000000004,182.0,472.0,72.0,4.0,58.24000000000001,16.0,17.0,0.0,4.0,81.0,405.0,34.08,29.0,9.0,7.0,0.0,0.0,2.160000000000001,10.0,1768.0,0.0,10.0
Co1 C1 O3,-1.666167683,15.9994,3.44,2.95,0.5880000000000001,14.75,2.0,9.105,66.0,1.56,14.2,0.8,87.0,54.8,8.0,66.0,1.44,54.8,12.0,14.0,6.0,87.0,2.24,80.0,2.8,12.0107,12.0,5.64,16.0,6.0,424.0,2.0,5755.4,4.0,1151.08,2.0,84.80000000000001,1.4,182.0,400.0,71.0,4.0,87.36000000000001,16.0,7.0,4.496,4.0,79.19999999999999,396.0,18.4,9.0,10.0,7.0,4.496,4.496,2.16,7.0,3823.0,1.43872,7.0
Co1 Ni1 O3,-1.136651948,15.9994,3.44,2.822,0.7416,14.11,2.0,9.105,66.0,1.56,13.4,0.96,87.0,54.8,8.0,66.0,1.92,54.8,12.0,12.0,6.0,87.0,3.6,89.6,2.4,15.9994,12.0,9.105,16.0,8.0,455.0,2.0,3660.4,4.0,732.08,2.0,91.0,3.0,213.0,448.0,67.0,4.0,94.8,16.0,15.0,0.0,4.0,76.0,380.0,28.32,10.0,6.0,7.0,0.0,0.0,3.12,8.0,1768.0,0.0,8.0
Co1 Se1 O3,-1.310586768,15.9994,3.44,2.95,0.5880000000000001,14.75,2.0,9.105,66.0,1.56,14.6,0.6399999999999999,87.0,54.8,8.0,66.0,1.2799999999999998,54.8,12.0,16.0,6.0,89.0,4.08,88.80000000000001,3.2,15.9994,12.0,9.105,16.0,8.0,244.0,2.0,2426.4,4.0,485.28,2.0,48.8,3.4000000000000004,182.0,444.0,73.0,4.0,58.08,16.0,17.0,0.799,4.0,81.6,408.0,27.360000000000003,16.0,8.0,7.0,0.799,0.799,2.24,10.0,1768.0,0.25568,10.0
Cr1 B1 O3,-2.620118577,15.9994,3.44,2.8040000000000003,0.7631999999999999,14.02,2.0,9.105,66.0,1.78,13.4,1.12,87.0,54.8,8.0,66.0,1.6800000000000002,54.8,12.0,13.0,6.0,87.0,1.6,84.2,2.6,10.811,12.0,7.1725,16.0,5.0,431.0,2.0,4692.4,4.0,938.48,2.0,86.2,1.0,217.0,421.0,67.0,4.0,89.04,16.0,5.0,1.524,4.0,76.4,382.0,21.92,6.0,11.0,10.0,1.524,1.524,3.12,5.0,2348.0,0.48768,5.0
Cr1 Ga1 Se3,-0.861763318,78.96,2.55,2.224,0.3911999999999999,11.12,4.0,25.92,120.0,0.8899999999999999,13.4,1.12,89.0,494.0,34.0,120.0,1.6800000000000002,302.91,14.0,13.0,16.0,89.0,1.6,124.2,2.6,51.9961,14.0,11.19,16.0,24.0,335.0,2.0,3964.91,4.0,792.982,2.0,67.00000000000001,9.0,215.0,621.0,67.0,4.0,64.80000000000001,16.0,45.0,2.397,4.0,78.0,390.0,5.920000000000002,16.0,11.0,10.0,0.799,0.799,3.12,10.0,2180.0,0.38352,5.0
Cr1 Ge1 Te3,-0.419505622,127.6,2.1,1.994,0.1336,9.97,5.0,34.7633333333,138.0,0.4400000000000001,13.6,0.8,90.0,722.66,52.0,120.0,1.44,722.66,152.0,14.0,16.0,90.0,1.6,134.6,2.8,51.9961,152.0,11.19,16.0,24.0,910.0,2.0,5559.38,4.0,1111.876,2.0,182.0,9.0,77.0,673.0,68.0,4.0,36.0,16.0,45.0,1.775,4.0,79.6,398.0,5.840000000000003,16.0,10.0,10.0,0.464,0.464,3.04,10.0,2180.0,0.142,5.0
Cr1 Sb1 S3,-0.785111498,32.065,2.58,2.29,0.3480000000000001,11.45,3.0,25.786875,105.0,0.9200000000000002,13.8,0.7200000000000001,88.0,388.36,16.0,105.0,1.2000000000000002,388.36,70.0,15.0,6.0,88.0,3.6,118.6,3.0,32.065,70.0,11.19,16.0,16.0,605.0,2.0,4248.86,4.0,849.7719999999999,2.0,121.0,3.0,159.0,593.0,69.0,4.0,61.2,16.0,15.0,6.606,4.0,79.6,398.0,16.32,15.0,9.0,10.0,2.202,2.202,3.12,10.0,2180.0,1.05696,10.0
Cr1 Sb1 Se3,-0.68635182,78.96,2.55,2.272,0.3336,11.36,4.0,25.92,120.0,0.8899999999999999,13.8,0.7200000000000001,89.0,494.0,34.0,120.0,1.2000000000000002,494.0,14.0,15.0,16.0,89.0,1.6,127.6,3.0,51.9961,14.0,11.19,16.0,24.0,437.0,2.0,4565.78,4.0,913.156,2.0,87.4,9.0,215.0,638.0,69.0,4.0,88.08,16.0,45.0,2.397,4.0,80.2,401.0,9.119999999999996,16.0,9.0,10.0,0.799,0.799,3.12,10.0,2180.0,0.38352,5.0
Cr1 Si1 Te3,-0.438944072,127.6,2.1,1.972,0.1536,9.86,5.0,34.7633333333,138.0,0.4400000000000001,13.6,0.8,90.0,722.66,52.0,111.0,1.44,722.66,152.0,14.0,16.0,90.0,3.6,132.8,2.8,28.0855,152.0,11.19,16.0,14.0,912.0,2.0,6034.98,4.0,1206.996,2.0,182.40000000000003,7.0,77.0,664.0,68.0,4.0,36.48,16.0,35.0,2.165,4.0,79.4,397.0,8.719999999999992,16.0,10.0,10.0,0.773,0.773,3.04,10.0,2180.0,0.1732,10.0
Cs3 Au1 O1,-0.871697987,132.9054519,3.44,1.67,1.056,8.35,6.0,115.765,244.0,2.65,6.0,0.6400000000000001,5.0,301.59,55.0,66.0,1.2800000000000002,54.8,229.0,4.0,1.0,87.0,3.2,186.8,0.8,15.9994,12.0,9.105,1.0,8.0,924.0,0.0,2296.9,0.0,459.38,1.0,184.8,2.0,217.0,934.0,30.0,4.0,69.11999999999999,16.0,10.0,0.0,4.0,33.60000000000001,168.0,68.64,25.0,2.0,15.0,0.0,0.0,6.0,10.0,1337.33,0.0,10.0
Cs3 Br1 O1,-1.553112871,132.9054519,3.44,1.754,1.1567999999999998,8.77,6.0,115.765,244.0,2.65,7.2,0.72,5.0,301.59,55.0,66.0,2.16,54.8,229.0,9.0,1.0,95.0,3.2,183.6,1.8,15.9994,12.0,9.105,1.0,8.0,763.0,0.0,1225.37,0.0,245.074,1.0,152.60000000000002,2.0,217.0,918.0,36.0,5.0,91.68,17.0,10.0,1.457,5.0,39.400000000000006,197.0,72.48,17.0,3.0,16.0,1.457,1.457,7.439999999999999,10.0,301.59,0.46624,10.0
Cs3 I1 O1,-1.456766823,132.9054519,3.44,1.694,1.0848,8.47,6.0,115.765,244.0,2.65,7.2,0.72,5.0,301.59,55.0,66.0,2.16,54.8,229.0,9.0,1.0,96.0,3.2,187.4,1.8,15.9994,12.0,9.105,1.0,8.0,763.0,0.0,1346.4199999999998,0.0,269.28399999999993,1.0,152.60000000000002,2.0,217.0,937.0,36.0,5.0,91.68,17.0,10.0,1.062,5.0,39.60000000000001,198.0,67.91999999999999,17.0,3.0,16.0,1.062,1.062,7.439999999999999,10.0,386.85,0.3398400000000001,10.0
Cs1 Ag1 Br3,-1.238915519,79.904,2.96,2.3200000000000003,0.7679999999999999,11.599999999999998,4.0,29.48,120.0,2.17,12.6,0.48,95.0,265.8,35.0,120.0,2.4000000000000004,265.8,64.0,15.0,17.0,95.0,3.2,149.8,3.0,79.904,64.0,16.33,17.0,35.0,646.0,1.0,2333.92,5.0,466.784,1.0,129.20000000000002,8.0,165.0,749.0,63.0,5.0,78.24000000000001,17.0,40.0,4.371,5.0,71.0,355.0,37.68000000000001,17.0,3.0,16.0,1.457,1.457,5.279999999999999,10.0,1234.93,0.69936,10.0
Cs1 Ag1 Cl3,-1.262984392,35.453,3.16,2.44,0.8640000000000001,12.2,3.0,24.4975,102.0,2.37,12.6,0.48,94.0,171.6,17.0,102.0,2.4000000000000004,171.6,64.0,15.0,7.0,94.0,3.2,139.0,3.0,35.453,64.0,16.33,17.0,17.0,646.0,1.0,2051.32,5.0,410.264,1.0,129.20000000000002,2.0,165.0,695.0,63.0,5.0,78.24000000000001,17.0,10.0,7.478999999999999,5.0,70.4,352.0,44.4,11.0,3.0,16.0,2.493,2.493,5.279999999999999,10.0,1234.93,1.19664,10.0
Cs1 Ag1 F3,-2.066297088,18.9984032,3.98,2.932,1.2576,14.66,2.0,9.7075,57.0,3.19,12.6,0.48,93.0,53.5,9.0,57.0,2.4000000000000004,53.5,15.0,15.0,7.0,93.0,3.2,112.0,3.0,18.9984032,15.0,9.7075,17.0,9.0,499.0,1.0,1697.02,5.0,339.40400000000005,1.0,99.8,2.0,214.0,560.0,63.0,5.0,101.76,17.0,10.0,5.91,5.0,69.8,349.0,66.0,11.0,3.0,16.0,1.97,1.97,5.279999999999999,10.0,1234.93,0.9456,10.0
Cs1 Al1 Te3,-0.806369902,127.6,2.1,1.7400000000000002,0.432,8.700000000000001,5.0,34.7633333333,138.0,1.31,12.4,1.12,90.0,722.66,52.0,121.0,1.6800000000000002,301.59,152.0,13.0,16.0,90.0,4.800000000000001,155.8,2.6,26.9815386,152.0,16.48,16.0,13.0,910.0,2.0,3403.04,4.0,680.608,2.0,182.0,6.0,77.0,779.0,62.0,4.0,36.0,16.0,30.0,1.392,4.0,69.6,348.0,35.28000000000001,16.0,11.0,15.0,0.464,0.464,4.5600000000000005,10.0,933.47,0.22272,10.0
Cs1 As1 O3,-1.890505581,15.9994,3.44,2.6580000000000004,0.9384,13.29,2.0,9.105,66.0,2.65,12.8,0.7200000000000001,87.0,54.8,8.0,66.0,1.2000000000000002,54.8,12.0,15.0,6.0,87.0,3.2,112.20000000000002,3.0,15.9994,12.0,9.105,16.0,8.0,431.0,2.0,1555.9899999999998,4.0,311.198,2.0,86.2,2.0,217.0,561.0,64.0,4.0,89.04,16.0,10.0,0.0,4.0,70.0,350.0,55.440000000000005,15.0,9.0,15.0,0.0,0.0,4.72,10.0,1090.0,0.0,10.0
Cs1 Au1 Br3,-1.220672874,79.904,2.96,2.442,0.6607999999999998,12.21,4.0,29.48,120.0,2.17,12.6,0.48,95.0,265.8,35.0,120.0,2.4000000000000004,265.8,64.0,15.0,17.0,95.0,3.2,148.0,3.0,79.904,64.0,16.7,17.0,35.0,646.0,1.0,2436.32,5.0,487.264,1.0,129.20000000000002,8.0,165.0,740.0,63.0,5.0,78.24000000000001,17.0,40.0,4.371,5.0,71.2,356.0,38.400000000000006,25.0,3.0,16.0,1.457,1.457,5.279999999999999,10.0,1337.33,0.69936,10.0
Cs1 Au1 Cl3,-1.196051755,35.453,3.16,2.562,0.7176000000000001,12.81,3.0,24.4975,102.0,2.37,12.6,0.48,94.0,171.6,17.0,102.0,2.4000000000000004,171.6,64.0,15.0,7.0,94.0,3.2,137.2,3.0,35.453,64.0,16.7,17.0,17.0,646.0,1.0,2153.72,5.0,430.744,1.0,129.20000000000002,2.0,165.0,686.0,63.0,5.0,78.24000000000001,17.0,10.0,7.478999999999999,5.0,70.6,353.0,42.72,25.0,3.0,16.0,2.493,2.493,5.279999999999999,10.0,1337.33,1.19664,10.0
Cs1 Au1 I3,-0.947759205,126.90447,2.66,2.262,0.5888,11.31,5.0,43.015,139.0,1.87,12.6,0.48,96.0,386.85,53.0,136.0,2.4000000000000004,301.59,64.0,15.0,17.0,96.0,3.2,159.39999999999998,3.0,126.90447,64.0,16.7,17.0,53.0,646.0,1.0,2799.4700000000003,5.0,559.894,1.0,129.20000000000002,8.0,165.0,797.0,63.0,5.0,78.24000000000001,17.0,40.0,3.186,5.0,71.8,359.0,33.83999999999999,25.0,3.0,16.0,1.062,1.062,5.279999999999999,10.0,1337.33,0.50976,10.0
Cs1 Au1 Se3,-0.582583462,78.96,2.55,2.196,0.5624000000000001,10.98,4.0,25.92,120.0,1.7599999999999998,12.0,0.96,89.0,494.0,34.0,120.0,1.92,301.59,14.0,12.0,16.0,89.0,3.2,148.0,2.4,78.96,14.0,16.7,16.0,34.0,496.0,2.0,3120.92,4.0,624.184,2.0,99.20000000000002,8.0,215.0,740.0,60.0,4.0,102.24,16.0,40.0,2.397,4.0,67.6,338.0,38.400000000000006,25.0,6.0,15.0,0.799,0.799,4.800000000000001,10.0,1337.33,0.38352,10.0
Cs1 B1 Se3,-0.85585178,78.96,2.55,2.096,0.5447999999999998,10.48,4.0,25.92,120.0,1.7599999999999998,12.4,1.12,89.0,494.0,34.0,84.0,1.6800000000000002,301.59,14.0,13.0,16.0,89.0,4.800000000000001,137.60000000000002,2.6,10.811,14.0,7.1725,16.0,5.0,437.0,2.0,4131.59,4.0,826.318,2.0,87.4,6.0,215.0,688.0,62.0,4.0,88.08,16.0,30.0,3.921,4.0,68.8,344.0,42.56000000000002,16.0,11.0,15.0,1.524,1.524,4.5600000000000005,10.0,2348.0,0.31368,10.0
