composition,formation_energy (eV/atom),band_gap (eV),sum_Number,sum_MendeleevNumber,sum_AtomicWeight,sum_MeltingT,sum_Column,sum_Row,sum_CovalentRadius,sum_Electronegativity,sum_NsValence,sum_NpValence,sum_NdValence,sum_NfValence,sum_NValence,sum_NsUnfilled,sum_NpUnfilled,sum_NdUnfilled,sum_NfUnfilled,sum_NUnfilled,sum_GSvolume_pa,sum_GSbandgap,sum_GSmagmom,sum_SpaceGroupNumber,avg_Number,avg_MendeleevNumber,avg_AtomicWeight,avg_MeltingT,avg_Column,avg_Row,avg_CovalentRadius,avg_Electronegativity,avg_NsValence,avg_NpValence,avg_NdValence,avg_NfValence,avg_NValence,avg_NsUnfilled,avg_NpUnfilled,avg_NdUnfilled,avg_NfUnfilled,avg_NUnfilled,avg_GSvolume_pa,avg_GSbandgap,avg_GSmagmom,avg_SpaceGroupNumber,dev_Number,dev_MendeleevNumber,dev_AtomicWeight,dev_MeltingT,dev_Column,dev_Row,dev_CovalentRadius,dev_Electronegativity,dev_NsValence,dev_NpValence,dev_NdValence,dev_NfValence,dev_NValence,dev_NsUnfilled,dev_NpUnfilled,dev_NdUnfilled,dev_NfUnfilled,dev_NUnfilled,dev_GSvolume_pa,dev_GSbandgap,dev_GSmagmom,dev_SpaceGroupNumber,range_Number,range_MendeleevNumber,range_AtomicWeight,range_MeltingT,range_Column,range_Row,range_CovalentRadius,range_Electronegativity,range_NsValence,range_NpValence,range_NdValence,range_NfValence,range_NValence,range_NsUnfilled,range_NpUnfilled,range_NdUnfilled,range_NfUnfilled,range_NUnfilled,range_GSvolume_pa,range_GSbandgap,range_GSmagmom,range_SpaceGroupNumber,max_Number,max_MendeleevNumber,max_AtomicWeight,max_MeltingT,max_Column,max_Row,max_CovalentRadius,max_Electronegativity,max_NsValence,max_NpValence,max_NdValence,max_NfValence,max_NValence,max_NsUnfilled,max_NpUnfilled,max_NdUnfilled,max_NfUnfilled,max_NUnfilled,max_GSvolume_pa,max_GSbandgap,max_GSmagmom,max_SpaceGroupNumber,min_Number,min_MendeleevNumber,min_AtomicWeight,min_MeltingT,min_Column,min_Row,min_CovalentRadius,min_Electronegativity,min_NsValence,min_NpValence,min_NdValence,min_NfValence,min_NValence,min_NsUnfilled,min_NpUnfilled,min_NdUnfilled,min_NfUnfilled,min_NUnfilled,min_GSvolume_pa,min_GSbandgap,min_GSmagmom,min_SpaceGroupNumber,mode_Number,mode_MendeleevNumber,mode_AtomicWeight,mode_MeltingT,mode_Column,mode_Row,mode_CovalentRadius,mode_Electronegativity,mode_NsValence,mode_NpValence,mode_NdValence,mode_NfValence,mode_NValence,mode_NsUnfilled,mode_NpUnfilled,mode_NdUnfilled,mode_NfUnfilled,mode_NUnfilled,mode_GSvolume_pa,mode_GSbandgap,mode_GSmagmom,mode_SpaceGroupNumber
Tm1 Rh3 C1,-0.538697854,0.0,210.0,291.0,489.66141,12352.0,44.0,23.0,692.0,10.64,7.0,2.0,24.0,13.0,46.0,3.0,4.0,6.0,1.0,14.0,76.34,4.496,0.0,1063.0,42.0,58.199999999999996,97.932282,2470.4,8.8,4.6000000000000005,138.4,2.128,1.4,0.4,4.8,2.6,9.2,0.6,0.8,1.2,0.2,2.8,15.268,0.8992000000000001,0.0,212.60000000000002,14.4,8.480000000000002,34.3686328,541.0400000000001,2.3199999999999994,1.0399999999999996,24.96,0.35119999999999973,0.48,0.6400000000000001,3.84,4.16,2.3199999999999994,0.48,1.2800000000000002,0.96,0.32000000000000006,0.7200000000000002,5.8048,1.43872,0.0,14.879999999999995,63.0,40.0,156.92351000000002,2005.0,11.0,4.0,114.0,1.2999999999999998,1.0,2.0,8.0,13.0,11.0,1.0,4.0,2.0,1.0,3.0,24.14,4.496,0.0,31.0,69.0,77.0,168.93421,3823.0,14.0,6.0,190.0,2.55,2.0,2.0,8.0,13.0,15.0,1.0,4.0,2.0,1.0,4.0,29.78,4.496,0.0,225.0,6.0,37.0,12.0107,1818.0,3.0,2.0,76.0,1.25,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,5.64,0.0,0.0,194.0,45.0,59.0,102.9055,2237.0,9.0,5.0,142.0,2.28,1.0,0.0,8.0,0.0,9.0,1.0,0.0,2.0,0.0,3.0,13.64,0.0,0.0,225.0
Tm1 Rh1 O3,-2.60793388,0.9565,138.0,357.0,319.83791,4219.4,60.0,17.0,530.0,13.85,9.0,12.0,8.0,13.0,42.0,1.0,6.0,2.0,1.0,10.0,70.735,0.0,0.0,455.0,27.6,71.4,63.967582,843.88,12.0,3.4000000000000004,106.0,2.77,1.8,2.4,1.6,2.6,8.399999999999999,0.2,1.2,0.4,0.2,2.0,14.147000000000002,0.0,0.0,91.00000000000001,23.52,18.72,57.56181840000001,946.896,4.800000000000001,1.6800000000000002,48.0,0.804,0.31999999999999995,1.92,2.5600000000000005,4.16,2.88,0.32000000000000006,0.96,0.6400000000000001,0.32000000000000006,0.4,6.253200000000001,0.0,0.0,94.80000000000001,61.0,50.0,152.93481,2182.2,13.0,4.0,124.0,2.19,1.0,4.0,8.0,13.0,9.0,1.0,2.0,2.0,1.0,2.0,20.675,0.0,0.0,213.0,69.0,87.0,168.93421,2237.0,16.0,6.0,190.0,3.44,2.0,4.0,8.0,13.0,15.0,1.0,2.0,2.0,1.0,3.0,29.78,0.0,0.0,225.0,8.0,37.0,15.9994,54.8,3.0,2.0,66.0,1.25,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,9.105,0.0,0.0,12.0,8.0,87.0,15.9994,54.8,16.0,2.0,66.0,3.44,2.0,4.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,9.105,0.0,0.0,12.0
Tm1 Ru3 C1,-0.259775492,0.0,207.0,282.0,484.15491,13462.0,41.0,23.0,704.0,10.4,7.0,2.0,21.0,13.0,43.0,3.0,4.0,9.0,1.0,17.0,75.95,4.496,0.0,970.0,41.400000000000006,56.4,96.830982,2692.4,8.200000000000001,4.6000000000000005,140.79999999999998,2.08,1.4,0.4,4.2,2.6,8.6,0.6,0.8,1.7999999999999998,0.2,3.4000000000000004,15.190000000000001,0.8992000000000001,0.0,194.0,14.159999999999998,8.239999999999998,33.928112799999994,452.24000000000007,2.3200000000000007,1.0399999999999996,25.92000000000001,0.3320000000000001,0.48,0.6400000000000001,3.3600000000000003,4.16,2.56,0.48,1.2800000000000002,1.44,0.32000000000000006,0.9599999999999997,5.836000000000001,1.43872,0.0,0.0,63.0,40.0,156.92351000000002,2005.0,11.0,4.0,114.0,1.2999999999999998,1.0,2.0,7.0,13.0,11.0,1.0,4.0,3.0,1.0,3.0,24.14,4.496,0.0,0.0,69.0,77.0,168.93421,3823.0,14.0,6.0,190.0,2.55,2.0,2.0,7.0,13.0,15.0,1.0,4.0,3.0,1.0,4.0,29.78,4.496,0.0,194.0,6.0,37.0,12.0107,1818.0,3.0,2.0,76.0,1.25,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,5.64,0.0,0.0,194.0,44.0,56.0,101.07,2607.0,8.0,5.0,146.0,2.2,1.0,0.0,7.0,0.0,8.0,1.0,0.0,3.0,0.0,4.0,13.51,0.0,0.0,194.0
Tm1 V1 O3,-3.320021488,0.0,116.0,344.0,267.87391,4165.4,56.0,16.0,541.0,13.2,10.0,12.0,3.0,13.0,38.0,0.0,6.0,7.0,1.0,14.0,70.105,0.0,0.0,459.0,23.200000000000003,68.8,53.574782,833.08,11.2,3.2,108.19999999999999,2.64,2.0,2.4,0.6000000000000001,2.6,7.6,0.0,1.2,1.4000000000000001,0.2,2.8,14.021,0.0,0.0,91.80000000000001,18.32,21.84,46.1437712,933.9360000000001,5.76,1.44,50.64,0.96,0.0,1.92,0.96,4.16,2.96,0.0,0.96,2.24,0.32000000000000006,1.6800000000000002,6.303600000000001,0.0,0.0,95.75999999999999,61.0,50.0,152.93481,2128.2,13.0,4.0,124.0,2.19,0.0,4.0,3.0,13.0,10.0,0.0,2.0,7.0,1.0,6.0,20.675,0.0,0.0,217.0,69.0,87.0,168.93421,2183.0,16.0,6.0,190.0,3.44,2.0,4.0,3.0,13.0,15.0,0.0,2.0,7.0,1.0,7.0,29.78,0.0,0.0,229.0,8.0,37.0,15.9994,54.8,3.0,2.0,66.0,1.25,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,9.105,0.0,0.0,12.0,8.0,87.0,15.9994,54.8,16.0,2.0,66.0,3.44,2.0,4.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,9.105,0.0,0.0,12.0
U1 Pd1 Se3,-1.100248433,0.0,240.0,349.0,581.32891,4718.05,61.0,24.0,695.0,11.23,8.0,12.0,41.0,3.0,64.0,0.0,6.0,9.0,11.0,26.0,112.19500000000001,2.3970000000000002,0.0,330.0,48.0,69.8,116.265782,943.61,12.2,4.800000000000001,139.0,2.2459999999999996,1.6,2.4,8.2,0.6000000000000001,12.8,0.0,1.2,1.8,2.2,5.2,22.439,0.4794,0.0,66.0,17.6,23.04,48.705251200000006,539.532,4.5600000000000005,0.9600000000000002,22.8,0.36479999999999996,0.6399999999999999,1.92,2.8800000000000003,0.96,3.84,0.0,0.96,2.8800000000000003,3.5200000000000005,5.92,4.177200000000001,0.38352,0.0,63.599999999999994,58.0,69.0,159.06891000000002,1334.05,13.0,3.0,76.0,1.17,2.0,4.0,9.0,3.0,10.0,0.0,2.0,9.0,11.0,20.0,11.510000000000002,0.799,0.0,211.0,92.0,89.0,238.02891,1828.05,16.0,7.0,196.0,2.55,2.0,4.0,10.0,3.0,16.0,0.0,2.0,9.0,11.0,20.0,25.92,0.799,0.0,225.0,34.0,20.0,78.96,494.0,3.0,4.0,120.0,1.38,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,14.41,0.0,0.0,14.0,34.0,89.0,78.96,494.0,16.0,4.0,120.0,2.55,2.0,4.0,10.0,0.0,16.0,0.0,2.0,0.0,0.0,2.0,25.92,0.799,0.0,14.0
U1 Re1 B3,-0.554023167,0.0,182.0,290.0,456.66891,11911.0,49.0,19.0,599.0,9.4,10.0,3.0,6.0,17.0,36.0,0.0,15.0,14.0,11.0,40.0,56.197500000000005,4.572,0.0,755.0,36.400000000000006,58.0,91.333782,2382.2,9.8,3.8000000000000007,119.80000000000001,1.88,2.0,0.6,1.2,3.4000000000000004,7.2,0.0,3.0,2.8,2.2,8.0,11.2395,0.9144,0.0,151.0,37.68,16.8,96.62733840000001,430.7199999999999,3.84,2.16,42.96000000000001,0.2000000000000001,0.0,0.48,1.52,4.24,5.5200000000000005,0.0,2.4000000000000004,3.3600000000000003,3.5200000000000005,4.800000000000001,4.8804,0.7315200000000001,0.0,35.2,87.0,52.0,227.21791,2051.0,10.0,5.0,112.0,0.6600000000000001,0.0,1.0,5.0,14.0,18.0,0.0,5.0,9.0,11.0,15.0,12.8525,1.524,0.0,131.0,92.0,72.0,238.02891,3459.0,13.0,7.0,196.0,2.04,2.0,1.0,5.0,14.0,21.0,0.0,5.0,9.0,11.0,20.0,20.025,1.524,0.0,194.0,5.0,20.0,10.811,1408.0,3.0,2.0,84.0,1.38,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,7.1725,0.0,0.0,63.0,5.0,72.0,10.811,2348.0,13.0,2.0,84.0,2.04,2.0,1.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,5.0,7.1725,1.524,0.0,166.0
U1 Si3 Ir1,-0.56406122,0.0,211.0,314.0,514.50241,9208.0,54.0,22.0,670.0,9.28,10.0,6.0,8.0,17.0,41.0,0.0,12.0,12.0,11.0,35.0,95.555,2.319,0.0,969.0,42.2,62.8,102.90048200000001,1841.6,10.8,4.4,134.0,1.8559999999999999,2.0,1.2,1.6,3.4000000000000004,8.200000000000001,0.0,2.4,2.4000000000000004,2.2,7.0,19.111000000000004,0.4638,0.0,193.79999999999998,33.84,18.24,89.7779784,358.9599999999999,3.84,1.6800000000000002,27.599999999999998,0.1904000000000001,0.0,0.96,2.16,4.24,5.920000000000001,0.0,1.92,2.8800000000000003,3.52,5.2,1.9603999999999977,0.37104000000000004,0.0,52.32000000000001,78.0,58.0,209.94341,1331.0,11.0,4.0,85.0,0.8200000000000003,0.0,2.0,7.0,14.0,19.0,0.0,4.0,9.0,11.0,17.0,6.23,0.773,0.0,164.0,92.0,78.0,238.02891,2739.0,14.0,7.0,196.0,2.2,2.0,2.0,7.0,14.0,23.0,0.0,4.0,9.0,11.0,20.0,20.44,0.773,0.0,227.0,14.0,20.0,28.0855,1408.0,3.0,3.0,111.0,1.38,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,14.21,0.0,0.0,63.0,14.0,78.0,28.0855,1687.0,14.0,3.0,111.0,1.9,2.0,2.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,20.44,0.773,0.0,227.0
U1 Tl1 O3,-2.938777098,0.2736,197.0,357.0,490.41040999999996,2149.4,64.0,19.0,539.0,13.32,10.0,13.0,11.0,17.0,51.0,0.0,11.0,9.0,11.0,31.0,74.25,0.0,0.0,293.0,39.4,71.4,98.082082,429.88,12.8,3.8000000000000007,107.80000000000001,2.664,2.0,2.6,2.2,3.4000000000000004,10.2,0.0,2.2,1.8,2.2,6.2,14.850000000000001,0.0,0.0,58.60000000000001,37.68000000000001,20.559999999999995,98.49921839999999,450.096,3.9199999999999995,2.16,50.16,0.9312,0.0,1.6800000000000002,3.12,4.24,6.72,0.0,1.12,2.8800000000000003,3.5200000000000005,5.5200000000000005,6.894,0.0,0.0,55.92,84.0,67.0,222.02951,1353.2,13.0,5.0,130.0,2.06,0.0,4.0,10.0,14.0,21.0,0.0,5.0,9.0,11.0,18.0,17.805,0.0,0.0,182.0,92.0,87.0,238.02891,1408.0,16.0,7.0,196.0,3.44,2.0,4.0,10.0,14.0,27.0,0.0,5.0,9.0,11.0,20.0,26.91,0.0,0.0,194.0,8.0,20.0,15.9994,54.8,3.0,2.0,66.0,1.38,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,9.105,0.0,0.0,12.0,8.0,87.0,15.9994,54.8,16.0,2.0,66.0,3.44,2.0,4.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,9.105,0.0,0.0,12.0
V3 As1 C1,-0.514444753,0.0,108.0,299.0,239.7568,11462.0,44.0,18.0,654.0,9.620000000000001,10.0,5.0,19.0,0.0,34.0,0.0,7.0,21.0,0.0,28.0,66.845,4.496,0.0,1047.0,21.599999999999998,59.8,47.95136,2292.4,8.8,3.6,130.79999999999998,1.924,2.0,1.0,3.8,0.0,6.8,0.0,1.4000000000000001,4.2,0.0,5.6000000000000005,13.369,0.8992000000000001,0.0,209.40000000000003,6.240000000000002,16.56,14.376263999999999,612.24,4.5600000000000005,0.64,26.640000000000004,0.35280000000000006,0.0,1.2,2.4800000000000004,0.0,3.28,0.0,1.6800000000000002,3.3600000000000003,0.0,1.68,3.5224,1.43872,0.0,23.51999999999999,27.0,38.0,62.9109,2733.0,10.0,2.0,77.0,0.9199999999999999,0.0,3.0,10.0,0.0,11.0,0.0,4.0,7.0,0.0,4.0,16.535,4.496,0.0,63.0,33.0,84.0,74.9216,3823.0,15.0,4.0,153.0,2.55,2.0,3.0,10.0,0.0,15.0,0.0,4.0,7.0,0.0,7.0,22.175,4.496,0.0,229.0,6.0,46.0,12.0107,1090.0,5.0,2.0,76.0,1.63,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,5.64,0.0,0.0,166.0,23.0,46.0,50.9415,2183.0,5.0,4.0,153.0,1.63,2.0,0.0,3.0,0.0,5.0,0.0,0.0,7.0,0.0,7.0,13.01,0.0,0.0,229.0
V3 Ga1 N1,-0.750254637,0.0,107.0,294.0,236.5542,6914.96,43.0,18.0,652.0,9.739999999999998,10.0,4.0,19.0,0.0,33.0,0.0,8.0,21.0,0.0,29.0,72.65625,6.437,0.0,945.0,21.4,58.8,47.310840000000006,1382.992,8.6,3.6,130.4,1.948,2.0,0.8,3.8,0.0,6.6,0.0,1.6,4.2,0.0,5.800000000000001,14.53125,1.2874,0.0,189.00000000000003,5.760000000000002,15.36,13.321655999999994,960.0095999999999,4.32,0.64,27.12,0.4368000000000001,0.0,0.9600000000000001,2.4800000000000004,0.0,2.56,0.0,1.9200000000000002,3.3600000000000003,0.0,1.44,1.8255000000000006,2.0598400000000003,0.0,49.99999999999998,24.0,36.0,55.7163,2119.95,10.0,2.0,82.0,1.4100000000000001,0.0,3.0,10.0,0.0,8.0,0.0,5.0,7.0,0.0,4.0,5.847500000000002,6.437,0.0,165.0,31.0,82.0,69.723,2183.0,15.0,4.0,153.0,3.04,2.0,3.0,10.0,0.0,13.0,0.0,5.0,7.0,0.0,7.0,18.8575,6.437,0.0,229.0,7.0,46.0,14.0067,63.05,5.0,2.0,71.0,1.63,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,13.01,0.0,0.0,64.0,23.0,46.0,50.9415,2183.0,5.0,4.0,153.0,1.63,2.0,0.0,3.0,0.0,5.0,0.0,0.0,7.0,0.0,7.0,13.01,0.0,0.0,229.0
V3 Ge1 C1,-0.473082029,0.0,107.0,294.0,237.47519999999997,11583.4,43.0,18.0,655.0,9.45,10.0,4.0,19.0,0.0,33.0,0.0,8.0,21.0,0.0,29.0,67.675,4.8790000000000004,0.0,1106.0,21.4,58.8,47.49504,2316.68,8.600000000000001,3.6,131.0,1.89,2.0,0.8,3.8,0.0,6.6000000000000005,0.0,1.6,4.2,0.0,5.8,13.535,0.9758000000000001,0.0,221.20000000000002,6.160000000000002,15.36,14.193735999999998,602.5279999999999,4.32,0.64,26.4,0.31199999999999994,0.0,0.96,2.4800000000000004,0.0,2.9600000000000004,0.0,1.92,3.3600000000000003,0.0,1.44,3.7880000000000003,1.40808,0.0,10.879999999999992,26.0,33.0,60.6293,2611.6,9.0,2.0,77.0,0.9199999999999999,0.0,2.0,10.0,0.0,10.0,0.0,4.0,7.0,0.0,3.0,17.365,4.496,0.0,35.0,32.0,79.0,72.64,3823.0,14.0,4.0,153.0,2.55,2.0,2.0,10.0,0.0,14.0,0.0,4.0,7.0,0.0,7.0,23.005,4.496,0.0,229.0,6.0,46.0,12.0107,1211.4,5.0,2.0,76.0,1.63,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,5.64,0.0,0.0,194.0,23.0,46.0,50.9415,2183.0,5.0,4.0,153.0,1.63,2.0,0.0,3.0,0.0,5.0,0.0,0.0,7.0,0.0,7.0,13.01,0.0,0.0,229.0
V3 Ge1 N1,-0.792490124,0.0,108.0,299.0,239.47119999999998,7823.45,44.0,18.0,650.0,9.94,10.0,5.0,19.0,0.0,34.0,0.0,7.0,21.0,0.0,28.0,76.80375,6.82,0.0,1106.0,21.599999999999998,59.8,47.89424,1564.6899999999998,8.8,3.6,130.0,1.988,2.0,1.0,3.8,0.0,6.800000000000001,0.0,1.4000000000000001,4.2,0.0,5.6,15.36075,1.364,0.0,221.20000000000002,5.840000000000002,16.56,13.555015999999998,741.972,4.5600000000000005,0.64,27.6,0.42960000000000004,0.0,1.2000000000000002,2.4800000000000004,0.0,2.880000000000001,0.0,1.68,3.3600000000000003,0.0,1.6800000000000002,3.0576999999999996,2.0292000000000003,0.0,10.879999999999992,25.0,36.0,58.6333,2119.95,10.0,2.0,82.0,1.4100000000000001,0.0,3.0,10.0,0.0,9.0,0.0,4.0,7.0,0.0,4.0,9.995,6.437,0.0,35.0,32.0,82.0,72.64,2183.0,15.0,4.0,153.0,3.04,2.0,3.0,10.0,0.0,14.0,0.0,4.0,7.0,0.0,7.0,23.005,6.437,0.0,229.0,7.0,46.0,14.0067,63.05,5.0,2.0,71.0,1.63,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,13.01,0.0,0.0,194.0,23.0,46.0,50.9415,2183.0,5.0,4.0,153.0,1.63,2.0,0.0,3.0,0.0,5.0,0.0,0.0,7.0,0.0,7.0,13.01,0.0,0.0,229.0
V1 Ag1 O3,-1.75495643,1.6283,94.0,372.0,206.8079,3582.3300000000004,64.0,15.0,496.0,13.879999999999999,9.0,12.0,13.0,0.0,34.0,1.0,6.0,7.0,0.0,14.0,56.655,0.0,0.0,490.0,18.8,74.4,41.361580000000004,716.466,12.8,3.0,99.2,2.776,1.8,2.4,2.6,0.0,6.8,0.2,1.2,1.4000000000000001,0.0,2.8,11.331,0.0,0.0,98.00000000000001,12.96,15.119999999999997,30.434616,793.9992000000001,3.84,1.2000000000000002,39.84,0.7968000000000001,0.31999999999999995,1.92,3.12,0.0,1.6800000000000002,0.32000000000000006,0.96,2.24,0.0,1.6800000000000002,2.6711999999999994,0.0,0.0,103.20000000000002,39.0,41.0,91.86880000000001,2128.2,11.0,3.0,87.0,1.81,1.0,4.0,10.0,0.0,6.0,1.0,2.0,7.0,0.0,6.0,7.224999999999998,0.0,0.0,217.0,47.0,87.0,107.8682,2183.0,16.0,5.0,153.0,3.44,2.0,4.0,10.0,0.0,11.0,1.0,2.0,7.0,0.0,7.0,16.33,0.0,0.0,229.0,8.0,46.0,15.9994,54.8,5.0,2.0,66.0,1.63,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,9.105,0.0,0.0,12.0,8.0,87.0,15.9994,54.8,16.0,2.0,66.0,3.44,2.0,4.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,9.105,0.0,0.0,12.0
V1 B1 O3,-2.726639266,1.8747,52.0,379.0,109.7507,4695.4,66.0,12.0,435.0,13.99,10.0,13.0,3.0,0.0,26.0,0.0,11.0,7.0,0.0,18.0,47.4975,1.524,0.0,431.0,10.4,75.8,21.950139999999998,939.08,13.2,2.4000000000000004,87.0,2.798,2.0,2.6,0.6000000000000001,0.0,5.199999999999999,0.0,2.2,1.4000000000000001,0.0,3.6000000000000005,9.499500000000001,0.3048,0.0,86.2,5.04,13.440000000000001,11.596543999999998,1061.136,3.3600000000000003,0.6400000000000002,26.4,0.7704,0.0,1.6800000000000002,0.96,0.0,0.9600000000000002,0.0,1.12,2.24,0.0,1.9200000000000002,1.4042000000000003,0.48768,0.0,89.04,18.0,41.0,40.1305,2293.2,11.0,2.0,87.0,1.81,0.0,4.0,3.0,0.0,3.0,0.0,5.0,7.0,0.0,5.0,5.8374999999999995,1.524,0.0,217.0,23.0,87.0,50.9415,2348.0,16.0,4.0,153.0,3.44,2.0,4.0,3.0,0.0,6.0,0.0,5.0,7.0,0.0,7.0,13.01,1.524,0.0,229.0,5.0,46.0,10.811,54.8,5.0,2.0,66.0,1.63,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,7.1725,0.0,0.0,12.0,8.0,87.0,15.9994,54.8,16.0,2.0,66.0,3.44,2.0,4.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,9.105,0.0,0.0,12.0
V1 Cd1 O3,-2.071688186,0.0,95.0,377.0,211.3507,2941.6200000000003,65.0,15.0,495.0,13.64,10.0,12.0,13.0,0.0,35.0,0.0,6.0,7.0,0.0,13.0,59.82000000000001,0.0,0.0,459.0,19.000000000000004,75.4,42.270140000000005,588.3240000000001,13.0,3.0,99.0,2.728,2.0,2.4,2.6,0.0,7.0,0.0,1.2,1.4000000000000001,0.0,2.6,11.964000000000002,0.0,0.0,91.80000000000001,13.200000000000003,13.919999999999998,31.524888000000004,640.2288000000001,3.5999999999999996,1.2000000000000002,39.6,0.8544,0.0,1.92,3.12,0.0,2.0,0.0,0.96,2.24,0.0,1.7600000000000002,3.4308000000000005,0.0,0.0,95.75999999999999,40.0,41.0,96.4116,2128.2,11.0,3.0,87.0,1.81,0.0,4.0,10.0,0.0,7.0,0.0,2.0,7.0,0.0,7.0,10.39,0.0,0.0,217.0,48.0,87.0,112.411,2183.0,16.0,5.0,153.0,3.44,2.0,4.0,10.0,0.0,12.0,0.0,2.0,7.0,0.0,7.0,19.495,0.0,0.0,229.0,8.0,46.0,15.9994,54.8,5.0,2.0,66.0,1.63,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,9.105,0.0,0.0,12.0,8.0,87.0,15.9994,54.8,16.0,2.0,66.0,3.44,2.0,4.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,9.105,0.0,0.0,12.0
V1 Co1 B3,-0.610551638,0.0,65.0,320.0,142.307695,10995.0,53.0,14.0,531.0,9.629999999999999,10.0,3.0,10.0,0.0,23.0,0.0,15.0,10.0,0.0,25.0,44.7725,4.572,1.5484712,921.0,13.0,64.0,28.461539,2199.0,10.6,2.8,106.2,1.926,2.0,0.6,2.0,0.0,4.6,0.0,3.0,2.0,0.0,5.0,8.9545,0.9144,0.30969424,184.2,9.600000000000001,9.600000000000001,21.180646799999998,178.8,2.88,0.96,26.64,0.1368000000000001,0.0,0.48,2.4,0.0,1.92,0.0,2.4000000000000004,2.4,0.0,0.8,2.1384,0.7315200000000001,0.49551078400000004,21.839999999999996,22.0,26.0,48.122195,580.0,8.0,2.0,69.0,0.41000000000000014,0.0,1.0,7.0,0.0,6.0,0.0,5.0,7.0,0.0,4.0,5.8374999999999995,1.524,1.5484712,63.0,27.0,72.0,58.933195,2348.0,13.0,4.0,153.0,2.04,2.0,1.0,7.0,0.0,9.0,0.0,5.0,7.0,0.0,7.0,13.01,1.524,1.5484712,229.0,5.0,46.0,10.811,1768.0,5.0,2.0,84.0,1.63,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,7.1725,0.0,0.0,166.0,5.0,72.0,10.811,2348.0,13.0,2.0,84.0,2.04,2.0,1.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,5.0,7.1725,1.524,0.0,166.0
V1 O1 F3,-2.714076768,3.6563,58.0,412.0,123.9361096,2398.3,72.0,12.0,390.0,17.009999999999998,10.0,19.0,3.0,0.0,32.0,0.0,5.0,7.0,0.0,12.0,51.2375,5.91,0.0,286.0,11.600000000000001,82.4,24.78722192,479.66,14.399999999999999,2.4000000000000004,78.0,3.402,2.0,3.8,0.6000000000000001,0.0,6.4,0.0,1.0,1.4000000000000001,0.0,2.4000000000000004,10.247499999999999,1.182,0.0,57.2,4.5600000000000005,14.559999999999995,10.461711232,681.336,3.7600000000000007,0.6400000000000002,30.0,0.7087999999999999,0.0,1.52,0.96,0.0,0.72,0.0,0.4,2.24,0.0,1.8400000000000003,1.1049999999999993,0.9456,0.0,68.72,15.0,47.0,34.942099999999996,2129.5,12.0,2.0,96.0,2.35,0.0,5.0,3.0,0.0,2.0,0.0,2.0,7.0,0.0,6.0,3.9049999999999994,1.97,0.0,217.0,23.0,93.0,50.9415,2183.0,17.0,4.0,153.0,3.98,2.0,5.0,3.0,0.0,7.0,0.0,2.0,7.0,0.0,7.0,13.01,1.97,0.0,229.0,8.0,46.0,15.9994,53.5,5.0,2.0,57.0,1.63,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,9.105,0.0,0.0,12.0,9.0,93.0,18.9984032,53.5,17.0,2.0,57.0,3.98,2.0,5.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0,9.7075,1.97,0.0,15.0
