composition,band_gap (eV),sum_MeltingT,mode_NpUnfilled,sum_NpValence,avg_Electronegativity,max_Electronegativity,mode_NUnfilled,max_NpValence,mode_NpValence,min_MeltingT,avg_NpValence,mode_Column,max_Column,mode_Electronegativity,avg_MeltingT,dev_NpValence,mode_GSvolume_pa,mode_NValence,min_GSvolume_pa,range_Column,sum_Column,mode_MendeleevNumber,max_MendeleevNumber,sum_Electronegativity,mode_MeltingT,range_SpaceGroupNumber,mode_Number,mode_AtomicWeight,dev_SpaceGroupNumber,dev_Column,sum_MendeleevNumber,avg_Column,avg_MendeleevNumber,range_MendeleevNumber,dev_NdValence,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled
Ag1 I1 O3,2.4375,1786.1800000000003,2.0,17.0,2.982,3.44,2.0,5.0,4.0,54.8,3.4,16.0,17.0,3.44,357.236,1.36,9.105,6.0,9.105,6.0,76.0,87.0,96.0,14.91,54.8,213.0,8.0,15.9994,64.0,1.6800000000000004,422.0,15.2,84.4,31.0,4.800000000000001,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
Ag1 N1 O3,1.8539,1462.38,2.0,15.0,3.0580000000000003,3.44,2.0,4.0,4.0,54.8,3.0,16.0,16.0,3.44,292.476,1.2000000000000002,9.105,6.0,9.105,5.0,74.0,87.0,87.0,15.29,54.8,213.0,8.0,15.9994,94.8,1.5199999999999996,408.0,14.8,81.6,22.0,3.2,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001
Ag1 P1 O3,2.0232,1716.63,2.0,15.0,2.888,3.44,2.0,4.0,4.0,54.8,3.0,16.0,16.0,3.44,343.326,1.2000000000000002,9.105,6.0,9.105,5.0,74.0,87.0,87.0,14.44,54.8,223.0,8.0,15.9994,68.96,1.5199999999999996,409.0,14.8,81.8,22.0,3.2,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001
Ag1 Sb1 O3,0.0946,2303.11,2.0,15.0,2.8600000000000003,3.44,2.0,4.0,4.0,54.8,3.0,16.0,16.0,3.44,460.622,1.2000000000000002,9.105,6.0,9.105,5.0,74.0,87.0,87.0,14.3,54.8,213.0,8.0,15.9994,88.08000000000001,1.5199999999999996,411.0,14.8,82.19999999999999,22.0,4.800000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001
Ag1 Te1 O3,1.5732,2121.99,2.0,16.0,2.87,3.44,2.0,4.0,4.0,54.8,3.2,16.0,16.0,3.44,424.398,1.2799999999999998,9.105,6.0,9.105,5.0,75.0,87.0,90.0,14.35,54.8,213.0,8.0,15.9994,84.72,1.6,416.0,15.0,83.19999999999999,25.0,4.800000000000001,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999
Al3 B1 C1,0.453,8971.41,5.0,6.0,1.884,2.55,5.0,2.0,1.0,933.47,1.2000000000000002,13.0,14.0,1.61,1794.2820000000002,0.3200000000000001,16.48,3.0,5.64,1.0,66.0,73.0,77.0,9.42,933.47,59.0,13.0,26.9815386,21.6,0.3200000000000007,368.0,13.2,73.6,5.0,0.0,0.3200000000000001,0.3200000000000001,0.3200000000000001,0.3200000000000001,0.3200000000000001,0.3200000000000001,0.3200000000000001,0.3200000000000001,0.3200000000000001,0.3200000000000001,0.3200000000000001,0.3200000000000001,0.3200000000000001,0.3200000000000001,0.3200000000000001,0.3200000000000001,0.3200000000000001,0.3200000000000001,0.3200000000000001,0.3200000000000001,0.3200000000000001,0.3200000000000001,0.3200000000000001,0.3200000000000001,0.3200000000000001
Al1 Fe3 C1,0.0,10189.47,0.0,3.0,1.93,2.55,4.0,2.0,0.0,933.47,0.6000000000000001,8.0,14.0,1.83,2037.894,0.72,10.73,8.0,5.64,6.0,51.0,55.0,77.0,9.65,1811.0,35.0,26.0,55.845,10.879999999999992,2.64,315.0,10.2,63.0,22.0,2.88,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16
Al1 Fe3 H1,0.0,6380.4800000000005,0.0,1.0,1.8600000000000003,2.2,4.0,1.0,0.0,14.01,0.2,8.0,13.0,1.83,1276.0959999999998,0.32,10.73,8.0,6.615,12.0,38.0,55.0,92.0,9.3,1811.0,35.0,26.0,55.845,10.879999999999992,2.64,330.0,7.6,66.0,37.0,2.88,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
Al1 In1 S3,2.0813,2528.3,2.0,14.0,2.226,2.58,2.0,4.0,4.0,388.36,2.8,16.0,16.0,2.58,505.66,1.44,25.786875,6.0,16.48,3.0,74.0,88.0,88.0,11.13,388.36,155.0,16.0,32.065,53.760000000000005,1.44,412.0,14.8,82.4,15.0,3.2,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44
Al1 In1 Se3,1.6333,2845.2200000000003,2.0,14.0,2.208,2.55,2.0,4.0,4.0,429.75,2.8,16.0,16.0,2.55,569.044,1.44,25.92,16.0,16.48,3.0,74.0,89.0,89.0,11.04,494.0,211.0,34.0,78.96,80.64000000000001,1.44,415.0,14.8,83.0,16.0,3.2,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44
