composition,band_gap (eV),sum_MeltingT,mode_NpUnfilled,sum_NpValence,avg_Electronegativity,max_Electronegativity,mode_NUnfilled,max_NpValence,mode_NpValence,min_MeltingT,avg_NpValence,mode_Column,max_Column,mode_Electronegativity,avg_MeltingT,dev_NpValence,mode_GSvolume_pa,mode_NValence,min_GSvolume_pa,range_Column,sum_Column,mode_MendeleevNumber,max_MendeleevNumber,sum_Electronegativity,mode_MeltingT,range_SpaceGroupNumber,mode_Number,mode_AtomicWeight,dev_SpaceGroupNumber,dev_Column,sum_MendeleevNumber,avg_Column,avg_MendeleevNumber,range_MendeleevNumber,dev_NdValence,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled
V1 Co1 B3,0.0,10995.0,5.0,3.0,1.926,2.04,5.0,1.0,1.0,1768.0,0.6,13.0,13.0,2.04,2199.0,0.48,7.1725,3.0,7.1725,8.0,53.0,72.0,72.0,9.63,2348.0,63.0,5.0,10.811,21.84,2.88,320.0,10.6,64.0,26.0,2.4,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004
V1 O1 F3,3.6563,2398.3,1.0,19.0,3.402,3.98,1.0,5.0,5.0,53.5,3.8,17.0,17.0,3.98,479.66,1.52,9.7075,7.0,9.105,12.0,72.0,93.0,93.0,17.009999999999998,53.5,217.0,9.0,18.9984032,68.72,3.7600000000000007,412.0,14.4,82.4,47.0,0.96,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
W1 N1 Cl3,1.8151,4272.85,1.0,18.0,2.976,3.16,1.0,5.0,5.0,63.05,3.6,17.0,17.0,3.16,854.57,1.6800000000000002,24.4975,7.0,14.76875,11.0,72.0,94.0,94.0,14.88,171.6,165.0,17.0,35.453,70.80000000000001,3.3600000000000008,415.0,14.4,83.0,43.0,1.2800000000000002,0.7200000000000002,0.7200000000000002,0.7200000000000002,0.7200000000000002,0.7200000000000002,0.7200000000000002,0.7200000000000002,0.7200000000000002,0.7200000000000002,0.7200000000000002,0.7200000000000002,0.7200000000000002,0.7200000000000002,0.7200000000000002,0.7200000000000002,0.7200000000000002,0.7200000000000002,0.7200000000000002,0.7200000000000002,0.7200000000000002,0.7200000000000002,0.7200000000000002,0.7200000000000002,0.7200000000000002,0.7200000000000002
W1 O1 F3,2.4411,3910.3,1.0,19.0,3.548,3.98,1.0,5.0,5.0,53.5,3.8,17.0,17.0,3.98,782.0600000000001,1.52,9.7075,7.0,9.105,11.0,73.0,93.0,93.0,17.74,53.5,217.0,9.0,18.9984032,68.72,3.4400000000000004,417.0,14.6,83.4,42.0,1.2800000000000002,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Y3 Al1 C1,0.0,10153.47,0.0,3.0,1.564,2.55,9.0,2.0,0.0,933.47,0.6000000000000001,3.0,14.0,1.22,2030.694,0.72,32.365,3.0,5.64,11.0,36.0,12.0,77.0,7.82,1799.0,31.0,39.0,88.90585,9.919999999999996,5.040000000000001,186.0,7.200000000000001,37.2,65.0,0.48,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16
Y3 Ga1 C1,0.0,9522.91,0.0,3.0,1.604,2.55,9.0,2.0,0.0,302.91,0.6000000000000001,3.0,14.0,1.22,1904.582,0.72,32.365,3.0,5.64,11.0,36.0,12.0,77.0,8.02,1799.0,130.0,39.0,88.90585,41.6,5.040000000000001,187.0,7.200000000000001,37.4,65.0,2.9600000000000004,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16
Y3 In1 C1,0.0,9649.75,0.0,3.0,1.598,2.55,9.0,2.0,0.0,429.75,0.6000000000000001,3.0,14.0,1.22,1929.95,0.72,32.365,3.0,5.64,11.0,36.0,12.0,77.0,7.99,1799.0,55.0,39.0,88.90585,17.6,5.040000000000001,188.0,7.200000000000001,37.6,65.0,2.9600000000000004,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16
Y3 Pb1 C1,0.0,9820.61,0.0,4.0,1.708,2.55,9.0,2.0,0.0,600.61,0.8,3.0,14.0,1.22,1964.122,0.96,32.365,3.0,5.64,11.0,37.0,12.0,81.0,8.54,1799.0,31.0,39.0,88.90585,9.919999999999996,5.28,194.0,7.4,38.8,69.0,2.9600000000000004,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92
Y3 Sn1 C1,0.0,9725.08,0.0,4.0,1.634,2.55,9.0,2.0,0.0,505.08,0.8,3.0,14.0,1.22,1945.016,0.96,32.365,3.0,5.64,11.0,37.0,12.0,80.0,8.17,1799.0,53.0,39.0,88.90585,16.959999999999997,5.28,193.0,7.4,38.6,68.0,2.9600000000000004,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92
Y3 Tl1 C1,0.0,9797.0,0.0,3.0,1.566,2.55,9.0,2.0,0.0,577.0,0.6000000000000001,3.0,14.0,1.22,1959.4,0.72,32.365,3.0,5.64,11.0,36.0,12.0,77.0,7.83,1799.0,0.0,39.0,88.90585,0.0,5.040000000000001,189.0,7.200000000000001,37.8,65.0,2.9600000000000004,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16
Y1 Al3 Ni1,0.0,6327.41,5.0,3.0,1.592,1.91,5.0,1.0,1.0,933.47,0.6,13.0,13.0,1.61,1265.482,0.48,16.48,3.0,10.32,10.0,52.0,73.0,73.0,7.96,933.47,31.0,13.0,26.9815386,9.919999999999996,3.12,292.0,10.4,58.4,61.0,2.4800000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004
Y1 B1 O3,5.1696,4311.4,2.0,13.0,2.716,3.44,2.0,4.0,4.0,54.8,2.6,16.0,16.0,3.44,862.2800000000001,1.6800000000000002,9.105,6.0,7.1725,13.0,64.0,87.0,87.0,13.58,54.8,182.0,8.0,15.9994,80.64,3.92,345.0,12.8,69.0,75.0,0.32,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12
Y1 B1 Rh3,0.0,10858.0,0.0,1.0,2.02,2.28,3.0,1.0,0.0,1799.0,0.2,9.0,13.0,2.28,2171.6000000000004,0.32,13.64,9.0,7.1725,10.0,43.0,59.0,72.0,10.1,2237.0,59.0,45.0,102.9055,21.6,2.24,261.0,8.6,52.2,60.0,3.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
Y1 Cr1 O3,2.4831,4143.4,2.0,12.0,2.64,3.44,2.0,4.0,4.0,54.8,2.4,16.0,16.0,3.44,828.68,1.92,9.105,6.0,9.105,13.0,57.0,87.0,87.0,13.2,54.8,217.0,8.0,15.9994,95.76,5.52,322.0,11.4,64.39999999999999,75.0,1.52,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
Y1 Ga3 Ru1,0.0,5314.73,5.0,3.0,1.77,2.2,5.0,1.0,1.0,302.91,0.6,13.0,13.0,1.81,1062.946,0.48,18.8575,13.0,13.51,10.0,50.0,74.0,74.0,8.85,302.91,130.0,31.0,69.723,62.4,3.6,290.0,10.0,58.0,62.0,2.88,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004
Y1 Mn1 O3,0.0,3482.4,2.0,12.0,2.6180000000000003,3.44,2.0,4.0,4.0,54.8,2.4,16.0,16.0,3.44,696.48,1.92,9.105,6.0,9.105,13.0,58.0,87.0,87.0,13.09,54.8,205.0,8.0,15.9994,92.88,5.279999999999999,325.0,11.6,65.0,75.0,1.52,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
Y1 Mo1 N3,1.9089,4884.15,3.0,9.0,2.5,3.04,3.0,3.0,3.0,63.05,1.7999999999999998,15.0,15.0,3.04,976.83,1.44,14.76875,5.0,14.76875,12.0,54.0,82.0,82.0,12.5,63.05,35.0,7.0,14.0067,11.2,5.04,308.0,10.8,61.6,70.0,1.52,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44
Y1 Ni1 Ge3,0.0,7161.200000000001,4.0,6.0,1.832,2.01,4.0,2.0,2.0,1211.4,1.2,14.0,14.0,2.01,1432.2400000000002,0.96,23.005,14.0,10.32,11.0,55.0,79.0,79.0,9.16,1211.4,31.0,32.0,72.64,9.919999999999993,3.6,310.0,11.0,62.0,67.0,2.72,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92
Y1 Ni1 O3,0.0,3691.4,2.0,12.0,2.69,3.44,2.0,4.0,4.0,54.8,2.4,16.0,16.0,3.44,738.2800000000001,1.92,9.105,6.0,9.105,13.0,61.0,87.0,87.0,13.45,54.8,213.0,8.0,15.9994,94.8,4.5600000000000005,334.0,12.2,66.8,75.0,2.4800000000000004,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
Y1 Re1 N3,0.0,5447.15,3.0,9.0,2.448,3.04,3.0,3.0,3.0,63.05,1.7999999999999998,15.0,15.0,3.04,1089.43,1.44,14.76875,5.0,14.655,12.0,55.0,82.0,82.0,12.240000000000002,63.05,0.0,7.0,14.0067,0.0,4.800000000000001,312.0,11.0,62.4,70.0,1.52,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44
Y1 Rh3 C1,0.0,12333.0,0.0,2.0,2.122,2.55,3.0,2.0,0.0,1799.0,0.4,9.0,14.0,2.28,2466.6,0.6400000000000001,13.64,9.0,5.64,11.0,44.0,59.0,77.0,10.61,2237.0,31.0,45.0,102.9055,14.879999999999995,2.3199999999999994,266.0,8.8,53.2,65.0,3.6,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002
Y1 Rh1 O3,0.0001,4200.4,2.0,12.0,2.764,3.44,2.0,4.0,4.0,54.8,2.4,16.0,16.0,3.44,840.08,1.92,9.105,6.0,9.105,13.0,60.0,87.0,87.0,13.82,54.8,213.0,8.0,15.9994,94.8,4.800000000000001,332.0,12.0,66.39999999999999,75.0,2.4800000000000004,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
Y1 Se1 O3,1.8369,2457.4,2.0,16.0,2.818,3.44,2.0,4.0,4.0,54.8,3.2,16.0,16.0,3.44,491.48,1.2799999999999998,9.105,6.0,9.105,13.0,67.0,87.0,89.0,14.09,54.8,182.0,8.0,15.9994,58.08,4.16,362.0,13.4,72.4,77.0,3.12,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999
Y1 Si3 Ir1,0.0,9599.0,4.0,6.0,1.824,2.2,4.0,2.0,2.0,1687.0,1.2,14.0,14.0,1.9,1919.8,0.96,20.44,4.0,14.21,11.0,54.0,78.0,78.0,9.12,1687.0,33.0,14.0,28.0855,10.4,3.84,306.0,10.8,61.2,66.0,2.16,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92
Y1 V1 O3,0.0,4146.4,2.0,12.0,2.6340000000000003,3.44,2.0,4.0,4.0,54.8,2.4,16.0,16.0,3.44,829.2800000000001,1.92,9.105,6.0,9.105,13.0,56.0,87.0,87.0,13.17,54.8,217.0,8.0,15.9994,95.76,5.76,319.0,11.2,63.8,75.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
Y1 W1 N3,2.2798,5683.15,3.0,9.0,2.54,3.04,3.0,3.0,3.0,63.05,1.7999999999999998,15.0,15.0,3.04,1136.63,1.44,14.76875,5.0,14.76875,12.0,54.0,82.0,82.0,12.7,63.05,35.0,7.0,14.0067,11.2,5.04,309.0,10.8,61.8,70.0,1.2000000000000002,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44
Zn1 C1 O3,3.5639,4680.08,2.0,14.0,2.904,3.44,2.0,4.0,4.0,54.8,2.8,16.0,16.0,3.44,936.016,1.44,9.105,6.0,5.64,4.0,74.0,87.0,87.0,14.52,54.8,182.0,8.0,15.9994,87.36000000000001,1.44,407.0,14.8,81.4,18.0,3.2,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Zn1 Ni3 N1,0.0,5939.7300000000005,0.0,3.0,2.084,3.04,2.0,3.0,0.0,63.05,0.6000000000000001,10.0,15.0,1.91,1187.946,0.96,10.32,10.0,10.32,5.0,57.0,61.0,82.0,10.419999999999998,1728.0,31.0,28.0,58.6934,14.879999999999995,1.6800000000000002,334.0,11.4,66.80000000000001,21.0,2.7200000000000006,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
Zn1 Se1 O3,3.9227,1351.08,2.0,16.0,2.904,3.44,2.0,4.0,4.0,54.8,3.2,16.0,16.0,3.44,270.216,1.2799999999999998,9.105,6.0,9.105,4.0,76.0,87.0,89.0,14.52,54.8,182.0,8.0,15.9994,58.08,1.2800000000000005,419.0,15.2,83.8,20.0,4.800000000000001,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999
Zr3 Al1 N1,0.0,7380.52,0.0,4.0,1.7280000000000002,3.04,8.0,3.0,0.0,63.05,0.8,4.0,15.0,1.33,1476.1039999999998,0.96,23.195,4.0,14.76875,11.0,40.0,44.0,82.0,8.64,2128.0,31.0,40.0,91.224,9.919999999999996,4.8,287.0,8.0,57.400000000000006,38.0,0.96,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92
Zr3 Zn1 N1,0.0,7139.7300000000005,0.0,3.0,1.7360000000000002,3.04,8.0,3.0,0.0,63.05,0.6000000000000001,4.0,15.0,1.33,1427.946,0.96,23.195,4.0,13.96,11.0,39.0,44.0,82.0,8.68,2128.0,0.0,40.0,91.224,0.0,4.5600000000000005,283.0,7.800000000000001,56.60000000000001,38.0,2.72,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
Zr1 B1 Rh3,0.0,11187.0,0.0,1.0,2.042,2.28,3.0,1.0,0.0,2128.0,0.2,9.0,13.0,2.28,2237.4,0.32,13.64,9.0,7.1725,9.0,44.0,59.0,72.0,10.21,2237.0,59.0,45.0,102.9055,21.6,1.92,293.0,8.8,58.6,28.0,3.3600000000000003,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
Zr1 Co1 H3,0.0,3938.03,0.0,0.0,1.962,2.2,1.0,0.0,0.0,14.01,0.0,1.0,9.0,2.2,787.606,0.0,6.615,1.0,6.615,8.0,16.0,92.0,92.0,9.81,14.01,0.0,1.0,1.00794,0.0,2.64,378.0,3.2,75.6,48.0,2.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zr1 Ni1 H3,0.0,3898.03,0.0,0.0,1.968,2.2,1.0,0.0,0.0,14.01,0.0,1.0,10.0,2.2,779.606,0.0,6.615,1.0,6.615,9.0,17.0,92.0,92.0,9.84,14.01,31.0,1.0,1.00794,9.919999999999993,2.88,381.0,3.4,76.19999999999999,48.0,2.4000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zr1 Ru3 C1,0.0,13772.0,0.0,2.0,2.096,2.55,4.0,2.0,0.0,2128.0,0.4,8.0,14.0,2.2,2754.4,0.6400000000000001,13.51,8.0,5.64,10.0,42.0,56.0,77.0,10.48,2607.0,0.0,44.0,101.07,0.0,2.24,289.0,8.4,57.8,33.0,2.88,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002
Zr1 Sn1 S3,0.9944,3798.16,2.0,14.0,2.206,2.58,2.0,4.0,4.0,388.36,2.8,16.0,16.0,2.58,759.632,1.44,25.786875,6.0,23.195,12.0,66.0,88.0,88.0,11.03,388.36,124.0,16.0,32.065,46.8,3.6800000000000006,388.0,13.2,77.6,44.0,3.04,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Cs1 Eu1 Br3,0.9374,2193.99,1.0,15.0,2.1710000000000003,2.96,1.0,5.0,5.0,265.8,3.0,17.0,17.0,2.96,438.798,2.4000000000000004,29.48,17.0,29.48,16.0,55.0,95.0,95.0,10.855,265.8,165.0,35.0,79.904,79.2,7.199999999999999,315.0,11.0,63.0,90.0,4.800000000000001,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
Cs1 Eu1 Cl3,0.0,1911.39,1.0,15.0,2.291,3.16,1.0,5.0,5.0,171.6,3.0,17.0,17.0,3.16,382.278,2.4000000000000004,24.4975,7.0,24.4975,16.0,55.0,94.0,94.0,11.455,171.6,165.0,17.0,35.453,79.2,7.199999999999999,312.0,11.0,62.4,89.0,0.0,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
Cs1 Fe1 Cl3,0.0,2627.3900000000003,1.0,15.0,2.42,3.16,1.0,5.0,5.0,171.6,3.0,17.0,17.0,3.16,525.4780000000001,2.4000000000000004,24.4975,7.0,10.73,16.0,60.0,94.0,94.0,12.1,171.6,165.0,17.0,35.453,79.2,6.0,342.0,12.0,68.4,89.0,1.92,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
Cs1 Ga1 S3,2.6472,1769.58,2.0,13.0,2.068,2.58,2.0,4.0,4.0,301.59,2.6,16.0,16.0,2.58,353.916,1.6800000000000002,25.786875,6.0,18.8575,15.0,62.0,88.0,88.0,10.34,388.36,165.0,16.0,32.065,51.36,4.5600000000000005,343.0,12.4,68.6,83.0,3.2,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12
Cs1 Ga1 Se3,1.8736,2086.5,2.0,13.0,2.05,2.55,2.0,4.0,4.0,301.59,2.6,16.0,16.0,2.55,417.3,1.6800000000000002,25.92,16.0,18.8575,15.0,62.0,89.0,89.0,10.25,494.0,215.0,34.0,78.96,64.80000000000001,4.5600000000000005,346.0,12.4,69.2,84.0,3.2,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12
Cs1 Ge1 Br3,0.7856,2310.3900000000003,1.0,17.0,2.3360000000000003,2.96,1.0,5.0,5.0,265.8,3.4,17.0,17.0,2.96,462.078,1.92,29.48,17.0,23.005,16.0,66.0,95.0,95.0,11.68,265.8,165.0,35.0,79.904,78.24000000000001,4.880000000000001,369.0,13.2,73.8,90.0,3.2,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04
Cs1 Ge1 Cl3,2.1535,2027.79,1.0,17.0,2.456,3.16,1.0,5.0,5.0,171.6,3.4,17.0,17.0,3.16,405.558,1.92,24.4975,7.0,23.005,16.0,66.0,94.0,94.0,12.28,171.6,165.0,17.0,35.453,78.24000000000001,4.880000000000001,366.0,13.2,73.2,89.0,3.2,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04
Cs1 Ge1 I3,0.9905,2673.54,1.0,17.0,2.156,2.66,1.0,5.0,5.0,301.59,3.4,17.0,17.0,2.66,534.7080000000001,1.92,43.015,17.0,23.005,16.0,66.0,96.0,96.0,10.78,386.85,165.0,53.0,126.90447,78.24000000000001,4.880000000000001,372.0,13.2,74.39999999999999,91.0,3.2,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04
Cs1 Hg1 Cl3,2.0,1050.71,1.0,15.0,2.454,3.16,1.0,5.0,5.0,171.6,3.0,17.0,17.0,3.16,210.142,2.4000000000000004,24.4975,7.0,24.4975,16.0,64.0,94.0,94.0,12.27,171.6,165.0,17.0,35.453,64.08,5.04,358.0,12.8,71.6,89.0,3.2,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
Cs1 Hg1 F3,0.7228,696.41,1.0,15.0,2.946,3.98,1.0,5.0,5.0,53.5,3.0,17.0,17.0,3.98,139.282,2.4000000000000004,9.7075,7.0,9.7075,16.0,64.0,93.0,93.0,14.73,53.5,214.0,9.0,18.9984032,87.6,5.04,355.0,12.8,71.0,88.0,3.2,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
